FF Food description,avg_stdev_diff
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",0.04744153880345755
"Apples, raw, fuji, with skin",0.13212606078011976
"Apples, raw, gala, with skin",0.13390263560309248
"Apples, raw, golden delicious, with skin",0.19392887155098437
"Apples, raw, granny smith, with skin",0.09423935817733806
"Apples, raw, red delicious, with skin",0.14341344655082197
"Applesauce, canned, unsweetened, with added ascorbic acid",0.06823443338552947
"Bananas, raw",0.14728804657020278
"Barley flour or meal",0.28983923526809413
"Beans, black, mature seeds, canned, low sodium",0.10301464702671362
"Beans, great northern, mature seeds, canned",0.11663355609829953
"Beans, kidney, red, mature seeds, canned, drained solids, rinsed in tap water",0.04243087929287377
"Beans, navy, mature seeds, canned",0.10700617906126404
"Beans, pinto, mature seeds, canned, drained solids, rinsed in tap water",0.03167669077604578
"Beans, snap, green, canned, food category ids and see how the averages are changingregular pack, drained solids",0.004424766558487496
"Beans, snap, green, canned, regular pack, drained solids",0.011481910619787277
"Beans, snap, green, raw",0.0692472463324068
"Beef sausage, pre-cooked",0.25795361310514026
"Beef, chuck, under blade pot roast or steak, boneless, separable lean and fat, trimmed to 0 fat, choice, raw",0.12624575748748654
"Beef, flank, steak, separable lean and fat, trimmed to 0 fat, choice, raw",0.09903908868416132
"Beef, ground, 80% lean meat / 20% fat, raw",0.11149122780852606
"Beef, ground, 90% lean meat / 10% fat, raw",0.0794949602202026
"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0 fat, choice, raw",0.3619123820170227
"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0 fat, choice, raw",0.06717493436452765
"Beverages, almond milk, unsweetened, shelf stable",0.049262317537614224
"Blueberries, raw",0.03255135264938101
"Bread, white, commercially prepared (includes soft bread crumbs)",0.07081634498006095
"Broccoli, raw",0.05368736450635654
"Buckwheat",0.4374842658468382
"Buckwheat flour, whole-groat",0.46419305737046035
"Butter, salted",0.12225168570888317
"Butter, without salt",0.0194205963509274
"Cabbage, raw",0.057260022680193624
"Cabbage, red, raw",0.06615734658167272
"Carrots, baby, raw",0.08490592164492816
"Carrots, raw",0.06041805852715315
"Celery, raw",0.031900783487588416
"Cheese product, pasteurized process, American, vitamin D fortified",0.18732268190202545
"Cheese, cheddar",0.029192237458047707
"Cheese, cottage, creamed, large or small curd",0.057352522548885614
"Cheese, cottage, lowfat, 2% milkfat",0.01839735958726537
"Cheese, cream",0.06715231688949884
"Cheese, feta",0.4147944909902133
"Cheese, fresh, queso fresco",0.17634452450591037
"Cheese, mexican, queso cotija",0.22634725391459143
"Cheese, monterey",0.17621789821955938
"Cheese, mozzarella, low moisture, part-skim",0.0483979408277297
"Cheese, parmesan, grated",0.02523855909889334
"Cheese, pasteurized process, American, fortified with vitamin D",0.1683104174973149
"Cheese, provolone",0.14953122583157036
"Cheese, ricotta, whole milk",0.3309426849138123
"Cherries, sweet, raw",0.09196884053624102
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",0.015603252886912953
"Chicken, broilers or fryers, dark meat, thigh, meat only, raw",0.053412831882848975
"Chicken, ground, raw",0.0855391787456389
"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained, rinsed in tap water",0.04328533013207353
"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",1.0784902243143466
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, canned, plain",0.10997338856219706
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw",0.1897974570896201
"Cranberry juice, unsweetened",0.1811361126916362
"Cream, fluid, heavy whipping",0.07897931851360304
"Cream, sour, cultured",0.06826756258875216
"Cucumber, with peel, raw",0.030986736496867496
"Egg, white, dried",0.09121599886630687
"Egg, white, raw, fresh",0.0936965408158507
"Egg, white, raw, frozen, pasteurized",0.020866078324521538
"Egg, whole, dried",0.24086139034138687
"Egg, whole, raw, fresh",0.09153250852522776
"Egg, whole, raw, frozen, pasteurized",0.041227265844501676
"Egg, yolk, dried",0.30373999064606805
"Egg, yolk, raw, fresh",0.35388213868907287
"Egg, yolk, raw, frozen, pasteurized",0.0457938132436002
"Garlic, raw",0.13733925140552
"Grape juice, canned or bottled, unsweetened, with added ascorbic acid",0.050870178886401954
"Grapefruit juice, white, canned or bottled, unsweetened",0.0891729750577896
"Ground turkey, 93% lean, 7% fat, raw",0.05413096832653096
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",0.01753448055191131
"Hummus, commercial",0.2499853746336295
"Kale, raw",0.7232272295141112
"Kiwifruit, green, raw",0.026975515575073317
"Lentils, raw",0.2642510123491785
"Lettuce, green leaf, raw",0.06714777109155161
"Lettuce, iceberg (includes crisphead types), raw",0.027032146159630555
"Lettuce, red leaf, raw",0.12492050555297424
"Milk, buttermilk, fluid, cultured, lowfat",0.03924309574705434
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",0.026234213012454384
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0.025195860582592388
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",0.029691228083640598
